topic,intent,content
DNS,definition,"DNS (Domain Name System) converts human-readable domain names like www.google.com into IP addresses like 142.250.190.78 that computers use to communicate. It acts as the internet's phone book."
DNS,procedure,"To flush DNS cache on Windows: 1. Open Command Prompt as Administrator. 2. Type: ipconfig /flushdns. 3. Press Enter. You should see 'Successfully flushed the DNS Resolver Cache'."
DNS,troubleshooting,"Common DNS issues: 1. DNS server not responding - try changing DNS to 8.8.8.8 (Google) or 1.1.1.1 (Cloudflare). 2. Slow DNS lookups - switch to a faster DNS provider. 3. DNS cache poisoning - flush DNS cache and restart browser."
WiFi,definition,"WiFi (Wireless Fidelity) is a wireless networking technology that allows devices to connect to the internet without physical cables. It uses radio waves to transmit data."
WiFi,troubleshooting,"WiFi not connecting: 1. Forget the network and reconnect. 2. Restart your router (unplug for 30 seconds). 3. Check if other devices can connect. 4. Update WiFi drivers. 5. Reset network settings."
WiFi,procedure,"To find WiFi password on Windows: 1. Go to Control Panel > Network and Sharing Center. 2. Click your WiFi name. 3. Click Wireless Properties. 4. Go to Security tab. 5. Check 'Show characters' to see the password."
Router,definition,"A router is a networking device that forwards data packets between computer networks. It connects your home devices to the internet and manages traffic between them."
Router,troubleshooting,"Router not working: 1. Restart the router by unplugging the power for 30 seconds. 2. Check all cable connections. 3. Log into router admin panel (usually 192.168.1.1). 4. Check for firmware updates. 5. Factory reset as last resort."
Router,procedure,"To access router admin page: 1. Open browser. 2. Type 192.168.1.1 or 192.168.0.1. 3. Enter admin credentials (default is usually admin/admin or admin/password). 4. Change default passwords immediately for security."
IP Address,definition,"An IP (Internet Protocol) address is a unique numerical label assigned to each device on a network. IPv4 uses format like 192.168.1.1. IPv6 uses a longer hexadecimal format."
IP Address,procedure,"To find your IP address: Windows: Open Command Prompt, type 'ipconfig'. Mac/Linux: Open Terminal, type 'ifconfig' or 'ip addr'. Public IP: Visit whatismyip.com or type 'curl ifconfig.me' in terminal."
IP Address,troubleshooting,"IP conflict error: 1. Open Command Prompt as admin. 2. Type: ipconfig /release. 3. Type: ipconfig /renew. This gets a new IP from the DHCP server. If problem persists, set a static IP manually."
LAN,definition,"LAN (Local Area Network) is a network that connects devices within a limited area like a home, office, or building. Devices on a LAN can share files, printers, and internet connections."
WAN,definition,"WAN (Wide Area Network) is a network that spans a large geographic area, often connecting multiple LANs. The internet is the largest WAN. ISPs (Internet Service Providers) manage WAN connections."
Internet,troubleshooting,"No internet connection steps: 1. Check if WiFi or Ethernet is connected. 2. Restart your device. 3. Restart router and modem. 4. Check ISP status page for outages. 5. Run Windows Network Troubleshooter. 6. Reset TCP/IP stack: open CMD as admin and run 'netsh int ip reset'."
Internet,procedure,"To test internet speed: 1. Close all unnecessary apps. 2. Visit speedtest.net or fast.com. 3. Run the test. Compare results with your ISP plan. If significantly slower, contact your ISP."
Ethernet,definition,"Ethernet is a wired networking technology used in LAN. It uses cables (Cat5e, Cat6) to connect devices. Ethernet is faster and more reliable than WiFi."
Ethernet,troubleshooting,"Ethernet not working: 1. Check cable connections at both ends. 2. Try a different cable. 3. Try a different port on the router. 4. Update network adapter drivers. 5. Disable and re-enable the network adapter in Device Manager."
Firewall,definition,"A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It creates a barrier between trusted and untrusted networks."
Firewall,troubleshooting,"If firewall is blocking connection: 1. Open Windows Defender Firewall. 2. Click 'Allow an app through firewall'. 3. Find your app and check both Private and Public. 4. Or temporarily disable firewall to test if it's the cause."
Ping,procedure,"To ping a server: 1. Open Command Prompt. 2. Type: ping google.com or ping 8.8.8.8. 3. Check response time (ms). High latency (>100ms) indicates network issues. Packet loss means unstable connection."
VPN,definition,"VPN (Virtual Private Network) creates an encrypted tunnel between your device and a VPN server, masking your IP address and securing your data on public networks."
VPN,troubleshooting,"VPN not connecting: 1. Check internet connection first. 2. Try a different VPN server/location. 3. Disable firewall temporarily. 4. Try different VPN protocol (OpenVPN, WireGuard). 5. Reinstall VPN client."
Network Adapter,troubleshooting,"Network adapter issues: 1. Open Device Manager. 2. Find Network Adapters section. 3. Right-click and choose Update Driver. 4. If yellow warning icon, uninstall and reinstall driver. 5. Download latest driver from manufacturer website."
TCP/IP,definition,"TCP/IP (Transmission Control Protocol/Internet Protocol) is the foundational communication protocol of the internet. TCP handles data packaging and delivery verification. IP handles addressing and routing."
TCP/IP,procedure,"To reset TCP/IP stack on Windows: 1. Open Command Prompt as Administrator. 2. Type: netsh int ip reset. 3. Type: netsh winsock reset. 4. Restart computer. This fixes many network connectivity issues."
Subnet,definition,"A subnet (subnetwork) is a logical subdivision of an IP network. Subnetting improves network performance and security by dividing a large network into smaller segments. Common subnet mask: 255.255.255.0 (/24)."
DHCP,definition,"DHCP (Dynamic Host Configuration Protocol) automatically assigns IP addresses to devices on a network. Without DHCP, you would need to manually configure IP addresses for every device."
DHCP,troubleshooting,"DHCP not assigning IP (getting 169.254.x.x): 1. Restart router. 2. Release and renew IP: ipconfig /release then ipconfig /renew. 3. Check DHCP server settings on router. 4. Try setting a static IP manually."
Bandwidth,definition,"Bandwidth is the maximum rate of data transfer across a network path, measured in Mbps or Gbps. Higher bandwidth allows more data to flow simultaneously, resulting in faster internet speeds."
